Gender,Own_Car,Own_Realty,Children,Annual_Income,Income_Type,Education,Marital_Status,Housing_Type,Age,Years_Employed,Family_Size,Occupation_Type,TARGET
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
M,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,56,12.2,2.0,Drivers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,Y,Y,2,135000.0,Working,Secondary / secondary special,Married,House / apartment,43,8.7,4.0,Laborers,0
F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44,19.4,3.0,Core staff,0
F,N,Y,1,211500.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,44,19.4,3.0,Core staff,0
M,Y,Y,0,360000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,45,14.7,2.0,Security staff,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,2,126000.0,Commercial associate,Higher education,Married,House / apartment,34,4.9,4.0,Managers,0
F,N,Y,0,315000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,55,0.0,1.0,Unknown,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46,3.7,1.0,Core staff,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46,3.7,1.0,Core staff,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46,3.7,1.0,Core staff,0
F,N,Y,0,247500.0,Commercial associate,Higher education,Separated,Rented apartment,46,3.7,1.0,Core staff,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,Y,0,297000.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,42,8.9,1.0,Laborers,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37,13.3,2.0,High skill tech staff,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37,13.3,2.0,High skill tech staff,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37,13.3,2.0,High skill tech staff,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37,13.3,2.0,High skill tech staff,0
F,N,N,0,157500.0,Commercial associate,Higher education,Married,House / apartment,37,13.3,2.0,High skill tech staff,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,3.9,2.0,Drivers,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,3.9,2.0,Drivers,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,3.9,2.0,Drivers,0
M,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,42,3.9,2.0,Drivers,0
M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,3.0,Unknown,0
M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,3.0,Unknown,0
M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,3.0,Unknown,0
M,N,Y,1,225000.0,Working,Secondary / secondary special,Married,House / apartment,28,7.7,3.0,Unknown,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
F,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,48,4.7,2.0,Laborers,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43,2.4,2.0,Unknown,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43,2.4,2.0,Unknown,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43,2.4,2.0,Unknown,0
M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,43,2.4,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,61,0.0,2.0,Unknown,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
M,Y,Y,0,112500.0,State servant,Secondary / secondary special,Married,House / apartment,57,6.5,2.0,Drivers,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Secondary / secondary special,Separated,House / apartment,45,3.3,1.0,Cleaning staff,0
F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29,2.3,2.0,Managers,0
F,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,29,2.3,2.0,Managers,0
M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,27,2.3,2.0,Drivers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
M,N,Y,0,166500.0,Working,Secondary / secondary special,Married,House / apartment,51,17.2,2.0,Laborers,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,N,Y,2,216000.0,State servant,Higher education,Married,House / apartment,42,8.5,4.0,Unknown,0
F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54,29.7,2.0,Laborers,0
F,Y,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,54,29.7,2.0,Laborers,0
F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39,7.6,2.0,Laborers,0
F,Y,Y,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,39,7.6,2.0,Laborers,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28,3.3,1.0,Accountants,0
F,N,Y,0,315000.0,Working,Secondary / secondary special,Single / not married,House / apartment,28,3.3,1.0,Accountants,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,N,0,255150.0,Pensioner,Incomplete higher,Civil marriage,Rented apartment,51,0.0,2.0,Unknown,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,1.5,3.0,Core staff,0
F,N,Y,2,157500.0,Working,Secondary / secondary special,Single / not married,House / apartment,39,1.5,3.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,0,148500.0,Working,Higher education,Married,House / apartment,48,2.4,2.0,Core staff,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6.3,4.0,Core staff,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6.3,4.0,Core staff,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6.3,4.0,Core staff,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6.3,4.0,Core staff,0
F,N,Y,2,202500.0,Working,Higher education,Married,House / apartment,30,6.3,4.0,Core staff,0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24,2.4,1.0,Drivers,0
M,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,24,2.4,1.0,Drivers,0
F,Y,Y,0,112500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,20,2.2,1.0,Private service staff,0
F,N,Y,0,94500.0,Pensioner,Higher education,Married,House / apartment,61,0.0,2.0,Unknown,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
M,Y,Y,0,315000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,28,5.7,2.0,Sales staff,0
F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28,8.7,2.0,High skill tech staff,0
F,Y,Y,0,270000.0,Commercial associate,Incomplete higher,Civil marriage,Municipal apartment,28,8.7,2.0,High skill tech staff,0
F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,48,1.9,3.0,Core staff,0
F,Y,Y,1,450000.0,State servant,Higher education,Married,House / apartment,48,1.9,3.0,Core staff,0
M,N,Y,1,180000.0,Working,Secondary / secondary special,Married,With parents,38,3.5,3.0,Drivers,0
F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,27,8.7,2.0,Laborers,0
F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,27,8.7,2.0,Laborers,0
F,N,Y,0,112500.0,Working,Higher education,Civil marriage,House / apartment,27,8.7,2.0,Laborers,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,56,15.7,2.0,Drivers,0
M,N,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,56,15.7,2.0,Drivers,0
M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,40,8.2,4.0,Laborers,0
M,Y,N,2,202500.0,Commercial associate,Higher education,Married,House / apartment,40,8.2,4.0,Laborers,0
M,Y,Y,0,247500.0,Working,Secondary / secondary special,Married,House / apartment,34,11.0,2.0,Drivers,0
M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,33,3.3,3.0,Managers,0
M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,33,3.3,3.0,Managers,0
M,Y,Y,1,765000.0,Working,Higher education,Married,House / apartment,33,3.3,3.0,Managers,0
F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,12.0,3.0,Accountants,0
F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,12.0,3.0,Accountants,0
F,N,Y,1,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,37,12.0,3.0,Accountants,0
F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,36,1.5,1.0,Managers,0
F,N,Y,0,315000.0,Working,Higher education,Separated,House / apartment,36,1.5,1.0,Managers,0
